iter	Passed	Remaining
1229	11709	666
1230	11716	656
1231	11725	647
1232	11731	637
1233	11739	627
1234	11745	618
1235	11754	608
1236	11761	599
1237	11771	589
1238	11783	580
1239	11794	570
1240	11805	561
1241	11815	551
1242	11826	542
1243	11838	532
1244	11853	523
1245	11864	514
1246	11875	504
1247	11888	495
1248	11901	485
1249	11913	476
1250	11923	467
1251	11934	457
1252	11944	448
1253	11954	438
1254	11963	428
1255	11973	419
1256	11981	409
1257	11989	400
1258	11996	390
1259	12005	381
1260	12013	371
1261	12021	361
1262	12030	352
1263	12037	342
1264	12045	333
1265	12053	323
1266	12059	314
1267	12067	304
1268	12074	294
1269	12081	285
1270	12087	275
1271	12095	266
1272	12102	256
1273	12109	247
1274	12117	237
1275	12123	228
1276	12131	218
1277	12137	208
1278	12146	199
1279	12155	189
1280	12163	180
1281	12171	170
1282	12178	161
1283	12185	151
1284	12192	142
1285	12200	132
1286	12207	123
1287	12214	113
1288	12222	104
1289	12230	94
1290	12237	85
1291	12243	75
1292	12252	66
1293	12260	56
1294	12267	47
1295	12274	37
1296	12281	28
1297	12288	18
1298	12295	9
1299	12302	0
